Year of Birth,Gender,Ethnicity,Child's First Name,Count,Rank,P(name|ethnicity),P(name),numerator,P
2020,MALE,latinx,Christian,47,43,0.0003516095488176194,0.00011792423242615309,4.1463286158023774e-08,5.358513055755282e-05
2020,MALE,latinx,Nicholas,47,43,0.0003516095488176194,0.00011792423242615309,4.1463286158023774e-08,5.358513055755282e-05
2020,MALE,latinx,Luis,46,44,0.0003441284945874573,0.00011541520620432004,3.9717661163593614e-08,5.132916987767395e-05
2020,MALE,latinx,Justin,44,45,0.000329166386127133,0.00011039715376065396,3.63390321421159e-08,4.6962794368230986e-05
2020,MALE,latinx,Carlos,43,46,0.00032168533189697095,0.0001078881275388209,3.4706028115068336e-08,4.485237953866689e-05
2020,MALE,latinx,Ayden,42,47,0.0003142042776668088,0.00010537910131698786,3.3110564410481634e-08,4.279047999254104e-05
2020,MALE,latinx,Nathaniel,42,47,0.0003142042776668088,0.00010537910131698786,3.3110564410481634e-08,4.279047999254104e-05
2020,MALE,latinx,Caleb,41,48,0.0003067232234366467,0.00010287007509515482,3.15526410283558e-08,4.077709572985345e-05
2020,MALE,latinx,Jayce,40,49,0.00029924216920648456,0.00010036104887332178,3.003225796869083e-08,3.881222675060413e-05
2020,MALE,latinx,Juan,40,49,0.00029924216920648456,0.00010036104887332178,3.003225796869083e-08,3.881222675060413e-05
2020,MALE,latinx,Miguel,40,49,0.00029924216920648456,0.00010036104887332178,3.003225796869083e-08,3.881222675060413e-05
2020,MALE,latinx,Enzo,39,50,0.0002917611149763225,9.785202265148873e-05,2.8549415231486716e-08,3.689587305479304e-05
2020,MALE,latinx,Jason,39,50,0.0002917611149763225,9.785202265148873e-05,2.8549415231486716e-08,3.689587305479304e-05
2020,MALE,latinx,Nicolas,39,50,0.0002917611149763225,9.785202265148873e-05,2.8549415231486716e-08,3.689587305479304e-05
2020,MALE,latinx,Evan,37,51,0.00027679900651599823,9.283397020782265e-05,2.5696350724461086e-08,3.3208711513485646e-05
2020,MALE,latinx,Greyson,37,51,0.00027679900651599823,9.283397020782265e-05,2.5696350724461086e-08,3.3208711513485646e-05
2020,MALE,latinx,Kevin,37,51,0.00027679900651599823,9.283397020782265e-05,2.5696350724461086e-08,3.3208711513485646e-05
2020,MALE,latinx,Leonardo,37,51,0.00027679900651599823,9.283397020782265e-05,2.5696350724461086e-08,3.3208711513485646e-05
2020,MALE,latinx,Brandon,36,52,0.0002693179522858361,9.03249439859896e-05,2.4326128954639563e-08,3.143790366798933e-05
2020,MALE,latinx,Ezra,36,52,0.0002693179522858361,9.03249439859896e-05,2.4326128954639563e-08,3.143790366798933e-05
2020,MALE,latinx,John,35,53,0.000261836898055674,8.781591776415655e-05,2.299344750727891e-08,2.9715611105931276e-05
2020,MALE,latinx,Grayson,34,54,0.0002543558438255119,8.530689154232351e-05,2.1698306382379123e-08,2.804183382731148e-05
2020,MALE,latinx,Joel,34,54,0.0002543558438255119,8.530689154232351e-05,2.1698306382379123e-08,2.804183382731148e-05
2020,MALE,latinx,Alex,33,55,0.0002468747895953498,8.279786532049046e-05,2.044070557994019e-08,2.641657183212993e-05
2020,MALE,latinx,Erick,33,55,0.0002468747895953498,8.279786532049046e-05,2.044070557994019e-08,2.641657183212993e-05
2020,MALE,latinx,Jesus,33,55,0.0002468747895953498,8.279786532049046e-05,2.044070557994019e-08,2.641657183212993e-05
2020,MALE,latinx,William,33,55,0.0002468747895953498,8.279786532049046e-05,2.044070557994019e-08,2.641657183212993e-05
2020,MALE,latinx,Jonah,32,56,0.00023939373536518765,8.028883909865742e-05,1.9220645099962127e-08,2.4839825120386635e-05
2020,MALE,latinx,Josue,32,56,0.00023939373536518765,8.028883909865742e-05,1.9220645099962127e-08,2.4839825120386635e-05
2020,MALE,latinx,Zion,32,56,0.00023939373536518765,8.028883909865742e-05,1.9220645099962127e-08,2.4839825120386635e-05
2020,MALE,latinx,Abdiel,31,57,0.00023191268113502555,7.777981287682438e-05,1.8038124942444928e-08,2.33115936920816e-05
2020,MALE,latinx,Jace,31,57,0.00023191268113502555,7.777981287682438e-05,1.8038124942444928e-08,2.33115936920816e-05
2020,MALE,latinx,Lukas,31,57,0.00023191268113502555,7.777981287682438e-05,1.8038124942444928e-08,2.33115936920816e-05
2020,MALE,latinx,Steven,31,57,0.00023191268113502555,7.777981287682438e-05,1.8038124942444928e-08,2.33115936920816e-05
2020,MALE,latinx,Adam,30,58,0.00022443162690486342,7.527078665499133e-05,1.6893145107388585e-08,2.1831877547214814e-05
2020,MALE,latinx,Adonis,30,58,0.00022443162690486342,7.527078665499133e-05,1.6893145107388585e-08,2.1831877547214814e-05
2020,MALE,latinx,Kai,30,58,0.00022443162690486342,7.527078665499133e-05,1.6893145107388585e-08,2.1831877547214814e-05
2020,MALE,latinx,Levi,30,58,0.00022443162690486342,7.527078665499133e-05,1.6893145107388585e-08,2.1831877547214814e-05
