NAME,CITY,STATE
MONTCLAIR ELEMENTARY SCHOOL,PORTLAND,OR
TIGARD HIGH SCHOOL,TIGARD,OR
SWEET HOME JUNIOR HIGH SCHOOL,SWEET HOME,OR
SUNNYSIDE ENVIRONMENTAL SCHOOL,PORTLAND,OR
THOMAS R FOWLER MIDDLE SCHOOL,TIGARD,OR
ATKINSON ELEMENTARY SCHOOL,PORTLAND,OR
BEND INTERNATIONAL SCHOOL,BEND,OR
ILLINOIS VALLEY HIGH SCHOOL,CAVE JUNCTION,OR
ST HELENS HIGH SCHOOL,ST HELENS,OR
AGNES STEWART MIDDLE SCHOOL,SPRINGFIELD,OR
OAKLAND ELEMENTARY SCHOOL,OAKLAND,OR
ROOSEVELT HIGH SCHOOL,PORTLAND,OR
SCOTTS MILLS ELEMENTARY SCHOOL,SCOTTS MILLS,OR
REYNOLDS ARTHUR ACADEMY,TROUTDALE,OR
MOUNTAINSIDE HIGH SCHOOL,BEAVERTON,OR
VERNONIA HIGH SCHOOL,VERNONIA,OR
JAMES TEMPLETON ELEMENTARY SCHOOL,TIGARD,OR
PORTLAND ARTHUR ACADEMY CHARTER SCHOOL,PORTLAND,OR
ALLEN DALE ELEMENTARY SCHOOL,GRANTS PASS,OR
DAYS CREEK CHARTER SCHOOL,DAYS CREEK,OR
NORTH MARION HIGH SCHOOL,AURORA,OR
PHILOMATH MIDDLE SCHOOL,PHILOMATH,OR
SPRING CREEK ELEMENTARY SCHOOL,EUGENE,OR
GATEWAYS HIGH SCHOOL,SPRINGFIELD,OR
REYNOLDS MIDDLE SCHOOL,FAIRVIEW,OR
STOLLER MIDDLE SCHOOL,PORTLAND,OR
MCKINLEY ELEMENTARY SCHOOL,BEAVERTON,OR
WEST GRESHAM ELEMENTARY SCHOOL,GRESHAM,OR
BOHEMIA ELEMENTARY SCHOOL,COTTAGE GROVE,OR
NAAS ELEMENTARY SCHOOL,BORING,OR
WEST LINN HIGH SCHOOL,WEST LINN,OR
TERREBONNE COMMUNITY SCHOOL,TERREBONNE,OR
NEWBY ELEMENTARY SCHOOL,MCMINNVILLE,OR
WILLAMINA HIGH SCHOOL,WILLAMINA,OR
CENTRAL LINN ELEMENTARY SCHOOL,HALSEY,OR
ELIZABETH PAGE ELEMENTARY SCHOOL,SPRINGFIELD,OR
HARRISBURG MIDDLE SCHOOL,HARRISBURG,OR
VALE HIGH SCHOOL,VALE,OR
