NAME,CITY,STATE
SERRANO ELEMENTARY,MORENO VALLEY,CA
SUPERIOR STREET ELEMENTARY,CHATSWORTH,CA
C L SMITH ELEMENTARY,SAN LUIS OBISPO,CA
GOLD OAK ELEMENTARY,PLACERVILLE,CA
E. HALE CURRAN ELEMENTARY,MURRIETA,CA
MARTIN LUTHER KING JR.,SACRAMENTO,CA
PLEASANT VALLEY MIDDLE,PLACERVILLE,CA
MILLIKAN HIGH,LONG BEACH,CA
NINETY-FIFTH STREET ELEMENTARY,LOS ANGELES,CA
SAN GABRIEL AVENUE ELEMENTARY,SOUTH GATE,CA
WEST CREEK ACADEMY,VALENCIA,CA
DEL VISTA MATH AND SCIENCE ACADEMY,DELANO,CA
ALMOND TREE MIDDLE,DELANO,CA
WASHINGTON ELEMENTARY,WASHINGTON,CA
CAMINO GROVE ELEMENTARY,ARCADIA,CA
SIERRA VISTA HIGH (ALTERNATIVE),WHITTIER,CA
ANDERSON NEW TECHNOLOGY HIGH,ANDERSON,CA
CESAR E. CHAVEZ MIDDLE,WATSONVILLE,CA
DE ANZA MIDDLE,ONTARIO,CA
PARADISE VALLEY ENGINEERING ACADEMY,MORGAN HILL,CA
LEIGH HIGH,SAN JOSE,CA
JACK L. WEAVER ELEMENTARY,LOS ALAMITOS,CA
SIERRA VISTA ELEMENTARY,CLOVIS,CA
JOHN M. HORNER MIDDLE,FREMONT,CA
KELLOGG ELEMENTARY,GOLETA,CA
FRED T. KOREMATSU DISCOVERY ACADEMY,OAKLAND,CA
THOMAS PAINE ELEMENTARY,GARDEN GROVE,CA
GULF AVENUE ELEMENTARY,WILMINGTON,CA
FLOYD A. SCHELBY,LIVINGSTON,CA
WILLIAM HOPKINS JUNIOR HIGH,FREMONT,CA
CALAVERAS ELEMENTARY,HOLLISTER,CA
GRANADA ELEMENTARY,GRANADA HILLS,CA
PACOIMA MIDDLE,PACOIMA,CA
LILIENTHAL (CLAIRE) ELEMENTARY,SAN FRANCISCO,CA
AUGUST BOEGER MIDDLE,SAN JOSE,CA
VALLEY VIEW ACAD OF TECH AND CREATIVE LRNG (TK-6),DUARTE,CA
RICHARD HENRY DANA MIDDLE,HAWTHORNE,CA
THORNTON JUNIOR HIGH,FREMONT,CA
MONTEBELLO INTERMEDIATE,MONTEBELLO,CA
JOHN F. KENNEDY HIGH,LA PALMA,CA
GOLDEN POPPY ELEMENTARY,PALMDALE,CA
RIO AMERICANO HIGH,SACRAMENTO,CA
EAST UNION HIGH,MANTECA,CA
LINCOLN JUNIOR HIGH,TAFT,CA
LEE V. POLLARD HIGH,CORONA,CA
FREEDOM ELEMENTARY,CLOVIS,CA
ALLEN AT STEINBECK,SAN JOSE,CA
VERNON MIDDLE,MONTCLAIR,CA
MOJAVE HIGH,HESPERIA,CA
ULYSSES GRANT ELEMENTARY,COLTON,CA
SAN GABRIEL HIGH,SAN GABRIEL,CA
SAN DIEGO SCPA,SAN DIEGO,CA
RITTER ELEMENTARY,LOS ANGELES,CA
MONTCLAIR HIGH,MONTCLAIR,CA
MARY MCLEOD BETHUNE MIDDLE,LOS ANGELES,CA
VALLEY HIGH (CONTINUATION),ESCONDIDO,CA
THOMAS JEFFERSON MIDDLE,WASCO,CA
CALVERT CHARTER FOR ENRICHED STUDIES,WOODLAND HILLS,CA
GABILAN HILLS,HOLLISTER,CA
