NAME,CITY,STATE
SOUTH HILLS EL,FORT WORTH,TX
CHAPEL HILL J H,TYLER,TX
LOGAN EL,EL PASO,TX
WESLACO 21ST CENTURY CTE EARLY COLLEGE H S,WESLACO,TX
NEW CANEY EL,NEW CANEY,TX
HARDIN CO ALTERNATIVE AEP,KOUNTZE,TX
BRIESEMEISTER MIDDLE,SEGUIN,TX
ANAHUAC MIDDLE,ANAHUAC,TX
CROSSTIMBERS ACADEMY,WEATHERFORD,TX
WINONA MIDDLE,WINONA,TX
JAMES COBLE MIDDLE,ARLINGTON,TX
WALNUT GLEN ACAD FOR EXCEL,GARLAND,TX
BRIDLEWOOD EL,FLOWER MOUND,TX
CARSON PARKE,HOUSTON,TX
BASSWOOD EL,FORT WORTH,TX
LANIER MIDDLE,HOUSTON,TX
GRUVER J H,GRUVER,TX
GREENWOOD FOREST EL,HOUSTON,TX
WALL SPECIAL PROGRAMS,PAINT ROCK,TX
TRAVIS EL,GREENVILLE,TX
REAGAN H S,SAN ANTONIO,TX
H O WHITEHURST EL,GROESBECK,TX
ELLIOTT EL,MCKINNEY,TX
LADY BIRD JOHNSON MIDDLE,IRVING,TX
WESTERN HILLS H S,FORT WORTH,TX
FAIRVIEW DAEP,SAN ANGELO,TX
BRIDGE CITY EL,BRIDGE CITY,TX
NEW DEAL DAEP,NEW DEAL,TX
FAIRVIEW ACCELERATED,SAN ANGELO,TX
MORENO EL,EL PASO,TX
LORENA PRI,LORENA,TX
RAMIREZ EL,LUBBOCK,TX
CROCKETT EL,CORPUS CHRISTI,TX
ELROD EL,SAN ANTONIO,TX
LIBERTY EL,AZLE,TX
ROY J SMITH MIDDLE,KILLEEN,TX
MOUNT PLEASANT DAEP,MOUNT PLEASANT,TX
MACARTHUR EL,GALENA PARK,TX
MATTHYS EL,SOUTH HOUSTON,TX
COLLEGE VIEW H S,COLLEGE STATION,TX
MEMORIAL INT,ALICE,TX
TURNER PREKINDERGARTEN ACADEMY,WAXAHACHIE,TX
POR VIDA ACADEMY CHARTER H S,SAN ANTONIO,TX
ROSS MIDDLE,EL PASO,TX
LAMAR EL,THE WOODLANDS,TX
M L KING MIDDLE,BEAUMONT,TX
MESQUITE H S,MESQUITE,TX
WILDERNESS OAK EL,SAN ANTONIO,TX
EXCEL ACADEMY,HOUSTON,TX
ALICE H S,ALICE,TX
DR T C MCCORMICK JR MIDDLE,BUDA,TX
TIDEHAVEN INT,EL MATON,TX
SCIENCE CTR,HOUSTON,TX
GRIMES EDUCATION CENTER,CARROLLTON,TX
VISTA ACADEMY OF WILLIS,CONROE,TX
WINFREE ACADEMY NORTH RICHLAND HILLS,NORTH RICHLAND HILLS,TX
BLACK EL,MESQUITE,TX
HARLINGEN H S - SOUTH,HARLINGEN,TX
DOLORES HUERTA EL,FORT WORTH,TX
DANISH EL,HOUSTON,TX
MORTON SCHOOL,MORTON,TX
DEARING EL,ROUND ROCK,TX
PREMIER H S OF BROWNSVILLE,BROWNSVILLE,TX
TRAVIS B BRYAN H S,BRYAN,TX
VERNON H S,VERNON,TX
ROBERT R VELA H S,EDINBURG,TX
WASHINGTON EL,BIG SPRING,TX
CENTERVILLE EL,GARLAND,TX
SER-NINOS CHARTER EL II,HOUSTON,TX
LAS YESCAS EL,SAN BENITO,TX
NEEDVILLE H S,NEEDVILLE,TX
CROSS ROADS J H,MALAKOFF,TX
FERRIS H S,FERRIS,TX
CLAYBON EL,FORNEY,TX
E-10 NW EL,EL PASO,TX
JEAN & BETTY SCHMALZ EL,HOUSTON,TX
JOHN AND SHAMARION BARBER MIDDLE,DICKINSON,TX
MILLSAP EL,CYPRESS,TX
WILLIAMS EL,LUBBOCK,TX
ACADEMY FOR TECHNOLOGY ENGINEERING MATH & SCIENCE,ABILENE,TX
LOMA PARK EL,SAN ANTONIO,TX
PLUM CREEK EL,LOCKHART,TX
HASLET EL,HASLET,TX
AD WHEAT MIDDLE,CLEBURNE,TX
COMMUNITY SCHOOL,PASADENA,TX
WINDSOR VILLAGE EL,HOUSTON,TX
MILLER EL,LITTLE ELM,TX
COASTAL ALTERNATIVE PROGRAM (CAP),SANTA FE,TX
LIFE SCHOOL CEDAR HILL,CEDAR HILL,TX
BOWIE EL,GREENVILLE,TX
SIMMS EL,LA MARQUE,TX
NEWTON COLLINS EL,AUSTIN,TX
YOUNG WOMEN'S LEADERSHIP ACADEMY,FORT WORTH,TX
MART ACADEMIC ALERNATIVE PROGRAM,MART,TX
GALM EL,SAN ANTONIO,TX
SUMMER CREEK H S,HOUSTON,TX
FOREST RIDGE,COLLEGE STATION,TX
MILTON B LEE ACADEMY OF SCIENCE & ENGINEERING,SAN ANTONIO,TX
WEINERT EL,SEGUIN,TX
BESSIE COLEMAN MIDDLE,CEDAR HILL,TX
MONTAGUE VILLAGE EL,FORT HOOD,TX
APPLIED LEARNING ACAD,FORT WORTH,TX
FROST EL,FROST,TX
